User_id,Id_Nama,Nama,Rating
1,1,Tahu Kentang Telur Kuah Santan,1
1,2,Paha Kambing Panggang,4
1,3,Acar Ikan Nila,3
1,4,Gulai Ayam Ala RM Padang,1
1,5,429. Ayam Goreng & Tempe Ungkep SambeL Tomat,1
1,6,Bubur Ayam Oat Kuah Kuning,3
1,7,Oseng Kikil Kambing,4
1,8,Sambal ikan besek,0
1,9,Mie Gomak Udang Kuah Lontong,5
1,10,Indomie Goreng ala BunDa 🤤,3
1,11,Omelet Tahu Keju,5
1,12,Tahu Susu Lembut,2
1,13,Bubur Ayam Bandung,3
1,14,Mie Telur Kuah Kambing Chef Bamz,0
1,15,Tahu Telur Sederhana,4
1,16,Sup Jagung Telur Kembang Kol,2
1,17,64. Pesmol Ikan Nila Pedas,1
1,18,Nila Bakar (resep ungkep),5
1,19,Tumis Tofu & Beef,5
1,20,Balsamic Honey Glaze Lamb,1
1,21,Nila bumbu rujak pedas,3
1,22,Oseng kikil kaki kambing,0
1,23,Bola udang kentang wortel,4
1,24,Kalio Ayam,3
1,25,Kepiting Telur Santan Pedas 🦀,5
1,26,Mie goreng sosis telur,4
1,27,Tahu isi makaroni,2
1,28,Cingur Sapi Rica Rica,0
1,29,Ayam goreng tepung (spicy fried chicken),4
1,30,"*Telur,Kentang,Balungan Ayam Masak Santan Kuning*",4
1,31,Sup Tulang Rempah #50,2
1,32,Tempe Kuah Tomat (tidak pedas),0
1,33,Tahu Tempe Oseng Klotok Belimbing Wuluh,4
1,34,MPASI 9m+ (Nasi tim + Kacang Panjang + Daging Sapi),4
1,35,534. Mie Goreng Cinta,4
1,36,Semur tahu makroni,5
1,37,Tumis Kubis Tahu Kering,2
1,38,Tahu Vs Makaroni Crispy,3
1,39,Sambal Goreng (Daging Tahu Tempe Pete),2
1,40,"Oseng Tempe, Daging, Jamur Shitake",2
1,41,Kare ikan dan udang,3
1,42,Resep Labu Siam Isi Daging,2
1,43,Sayur Lodeh Labu Terong Tempe,5
1,44,Tempe Sosis Baby Gurita,2
1,45,Tahu campur kornet dgn duo saus,2
1,46,Martabak GEHU (Toge + Tahu),5
1,47,Pepes tahu jamur tiram,0
1,48,Tahu Bulat Telur Krispy,5
1,49,Tahu dumpling cheese,4
1,50,Seblak Mie Komplit,5
1,51,Mie Goreng Telur Special,2
1,52,Tahu Walik Isi Ayam Keju,3
1,53,Bali Telur Tahu Praktis,1
1,54,"MIE AYAM ""Abang-Abang""",0
1,55,Omelet Telur Mie Instan,0
1,56,Mie Tiaw Goreng Daging Sapi,0
1,57,Tumis Tempe Tauge Tomat,0
1,58,Rempeyek udang,0
1,59,Mie Shirataki kornet sapi,1
1,60,Bola Tahu Keju (Cemilan 3 Bahan),2
1,61,Ca Brokoli Shiitake Udang Saus Tiram Simple,0
1,62,SOP KEMBANG KOL Segar Berempah▪,2
1,63,Telor Ceplok Kuah Santan,2
1,64,Telur Kuah Santan,3
1,65,Telur Santan Kemangi,2
1,66,Dadar Telur Tahu,0
1,67,Ceplok Monster Ceria,4
1,68,Sambal goreng ati kambing dan kentang,0
1,69,Kepala Ayam Goreng Sereh ala rumah,4
1,70,Tumis Labu Tempe,5
1,71,Kentang masak Sarden,3
1,72,Sawi kukus isi tahu kornet,1
1,73,Mun Tahu Telur - Menu Anak,0
1,74,Pepes Tahu,2
1,75,Tahu Sutera tumis Sambal Matah,3
1,76,Sup Makaroni Tahu,4
1,77,Tahu Walik Makaroni,2
1,78,Pepes Tahu Sayuran,4
1,79,Roll Telur Tahu Macaroni (ala chef),1
1,80,Tahu Susu Kukus Macaroni,5
1,81,Mpasi Bubur 3T tomat tahu telur,5
1,82,Sayur labu telur santan,3
1,83,Sayur labu siam tahu Telur,4
1,84,Tahu ati kambing rica,2
1,85,SOP Makaroni Bakso Tahu,1
1,86,Tumis Buncis Udang Saos Tiram,4
1,87,Buncis Telur Santan,2
1,88,Sup Ayam Favorit Keluarga,1
1,89,mie iga kambing,0
1,90,Bubur Jagung Daging Sapi Tempe Bayam MPASI 6 bulan +,3
1,91,182. Pindang Kikil & Kaki Kambing ala Emak,4
1,92,Baked Salmon Potato Schottel (bisa untuk MPASI 10m+),4
