User_id,Title,Rating
111,Udang tumis cabe ijo,5.0
112,Ayam goreng tepung saos petis sederhana,0.0
131,Cha kacang panjang tauge udang pedas,4.0
134,Cuma telur dadar 😂,1.0
139,Rawon daging sapi,4.0
147,Ongseng kambing bakar ringan,1.0
150,Bandeng Bakar tulang lunak,4.0
152,Santan tempe kacang,5.0
184,Siomay ayam & udang,0.0
212,Tempe Kriuk super enak,1.0
219,6. Ayam tahu kecap,1.0
241,Tahu Cabe Garam,4.0
248,Cumi Tahu Saus Asam Manis,5.0
273,Tahu telur Jawa Timur,1.0
277,Tumis kol daging sapi,5.0
282,Sambel goreng hati sapi+tahu,0.0
287,Gulai Kambing Simple,5.0
311,Tumis Sapi Jamur Lada Hitam,5.0
338,Kaldu udang,3.0
344,Cilok telor,2.0
349,Telur gulung rame-rame,5.0
353,Telor Dadar Sayur,0.0
368,Tahu tempe bacem,1.0
394,Beef Bulgogi,3.0
399,Kakap Merah Kuah Kuning,4.0
404,Misoa Sapi Lada Hitam,5.0
407,Rujak Kambing Muda,3.0
416,Sate krengseng #kitaberbagi,1.0
431,Ayam Gemprek Sabel bawang,5.0
443,Ayam Kampung Tanpa Santan(krebek kuning),4.0
452,Ayam Lodoh ala Uti,0.0
492,Ayam suwir Bali,2.0
502,Tahu cabe garam,2.0
515,Telur kecap,5.0
521,Udang Balado DEBM,5.0
530,Sop dengkul kaki sapi,5.0
532,Sambal Tahu Goreng,0.0
539,Ayam Yakiniku(tumis),3.0
542,Udang Saos Tiram,2.0
544,Bakso tahu kuah,1.0
552,Ayam goreng bawang khas batam,4.0
554,Sup Brenebron Daging Sapi Endesss,3.0
555,Sardin potato,3.0
570,Tongkol Mini Sambal Ijo,5.0
584,[Simple] Sup Tomat Telur,0.0
593,Sayur Sawi Kuah Udang,5.0
594,Tumis Sawi Putih Tahu,2.0
595,Nugget Ayam Sayur Homemade,1.0
601,Balado telur dan teri,3.0
607,Tumis Pokcoy Daging Sapi,0.0
608,04) Kari Ayam,0.0
611,Bakso lele,0.0
614,Seblak Kuah Basah Makaroni Telur Bakso,1.0
617,Fritata italia #ketopad_cp_telur,5.0
629,Sarden Pedas,5.0
631,Mie ayam by dapur mama R&M,3.0
634,Santan gabus bakar,5.0
640,Beef Teriyaki Hokben,4.0
647,Sate Kambing Bumbu Kacang,2.0
654,Sate Kambing Simpel,1.0
679,Telur geprek,3.0
689,Pentol ikan Tenggiri,2.0
704,Sup kambing gampang,2.0
718,Resep Simpel Sate Kambing,2.0
731,Tempe Bacem,1.0
747,Tongseng sapi 🐄,4.0
757,Tongkol Masak Sarden,1.0
762,Tempe teri balado jengkol,0.0
767,Tempe kering gula merah,3.0
801,Sate Padang + lontong #KitaBerbagi,2.0
846,Asem asem bandeng,4.0
847,Tumis Sawi Asin Daging Sapi,5.0
869,Krengseng Kepala Kambing Lombok Ijo,3.0
882,Sate Kambing Hot Plate,2.0
888,Soto Sapi,3.0
899,Tom Yum Udang,0.0
903,Ikan Tongkol Suwir Kemangi,2.0
904,Oseng Tahu Taoco,2.0
907,Tongseng Tetelan Sapi,0.0
908,Tahu bodo,1.0
924,Mangut kepala patin,2.0
927,Tumis pare telur,1.0
932,Brocoli sapi teriyaki,5.0
941,Tongseng Kambing (Versi Simple),3.0
942,Tempe Kering Sederhana,4.0
969,Nila goreng saus tiram,4.0
981,Lele bakar*simple,0.0
1001,Oseng Kambing Kecap,3.0
1006,Telur Ceplok Balado,5.0
1044,Mie yamien ayam jamur bakso,1.0
1066,Ayam suwir bumbu bali,2.0
1107,Bola bola tempe isi telur puyuh,3.0
1111,Telur dadar kelapa,5.0
1112,Bakso Tempe Saus Tiram,1.0
1135,"Sambel Goreng sawi Putih,Tahu & Kentang",1.0
1164,Telor kuah Lahar,0.0
1174,Sambel goreng kentang lidah sapi ala rawid kitchen,1.0
1175,Bobor Kangkung Labu Siam Tempe,3.0
1176,Krengseng Daging + Telur ala ala Bunda,0.0
1182,Tumis taoge tahu,0.0
1183,Tempe Kemul,2.0
1192,Tumis kangkung udang,3.0
1207,Semur Ayam Tahu Kentang,5.0
1213,Rawon tulang sapi,5.0
1235,Tempe tahu bacem,2.0
1253,Tahu Cabe Garam,3.0
1255,Udang saus Mentega Padat Karya,2.0
1264,Jeroan sapi masak cabe,2.0
1279,Tumis pare udang pedas,4.0
1324,Tumis daging sapi pedas with okra,2.0
1330,Sayur terong tempe santan gampang,5.0
1331,Rolade tahu daun singkong,2.0
1351,Semur Telor,1.0
1356,Nasi Goreng Kambing,4.0
1359,Somay Udang Sederhana,1.0
1363,Nasi Kebuli Kambing,5.0
1395,Sop bening daging sapi,4.0
1401,Ayam Goreng Lengkuas,5.0
1407,Bandeng Tumis Aceh (Geumuloh Teucrah),2.0
1420,Beef Steak *yummi*,0.0
1451,Tahu Tempe Sambel Cabe Ijo,1.0
1454,Mujaer goreng,3.0
1465,Tempe udang balado tanpa msg(pr_recookmasakanawalanT),1.0
1471,Garang asem ayam *tanpa daunpisang dan tanpa dikukus,0.0
1485,Bakwan sayuran udang😚😚,1.0
1494,Lele crispy,0.0
1495,Tempe Katsu,3.0
1502,Beef Steak Saus Jamur,1.0
1510,Sate kambing bumbu kacang ala2 madure #KitaBerbagi,4.0
1515,Kambing Lada Hitam,1.0
1528,Udang Crispy,1.0
1540,Daging sapi kecap ala ku,4.0
1555,Ati pete balado,0.0
1558,Tongseng sapi,2.0
1566,Telur dadar kelapa,5.0
1580,Minyak kulit ayam By bubu,0.0
1598,Telur ceplok bawang bombay (pedes yah),2.0
1614,Telur bumbu bali #Ketopad,5.0
1624,Beef Pizza with Mozarella Cheese,3.0
1628,Gulai ayam arya,2.0
1637,Tahu gejrot,3.0
1653,Ayam Rica Crispy,2.0
